supplier_reference,supplier_name,supplier_trn,supply_reference,supply_date,amount_excluding_vat,input_vat,expected_next_12m,last_verified_on
SYN-0012,Synthetic Supplier 0012 LLC,900000000000012,SYN-0012-INV-02,2026-06-09,3916.43,195.82,6787.65,2025-04-13
SYN-0013,Synthetic Supplier 0013 LLC,900000000000013,SYN-0013-INV-01,2026-05-06,3562.91,178.15,7771.8,2026-05-14
SYN-0013,Synthetic Supplier 0013 LLC,900000000000013,SYN-0013-INV-02,2026-06-22,2694.61,134.73,7771.8,2026-05-14
SYN-0013,Synthetic Supplier 0013 LLC,900000000000013,SYN-0013-INV-03,2026-08-08,2377.82,118.89,7771.8,2026-05-14
SYN-0014,Synthetic Supplier 0014 LLC,900000000000014,SYN-0014-INV-01,2026-05-19,6590.44,329.52,107710.39,2025-06-15
SYN-0014,Synthetic Supplier 0014 LLC,900000000000014,SYN-0014-INV-02,2026-07-05,5823.54,291.18,107710.39,2025-06-15
SYN-0014,Synthetic Supplier 0014 LLC,900000000000014,SYN-0014-INV-03,2026-08-21,7849.16,392.46,107710.39,2025-06-15
SYN-0014,Synthetic Supplier 0014 LLC,900000000000014,SYN-0014-INV-04,2025-10-12,3672.5,183.63,107710.39,2025-06-15
SYN-0015,Synthetic Supplier 0015 LLC,900000000000015,SYN-0015-INV-01,2026-06-01,3469.77,173.49,20648.28,
SYN-0015,Synthetic Supplier 0015 LLC,900000000000015,SYN-0015-INV-02,2026-07-18,5772.11,288.61,20648.28,
SYN-0015,Synthetic Supplier 0015 LLC,900000000000015,SYN-0015-INV-03,2026-09-03,5524.88,276.24,20648.28,
SYN-0015,Synthetic Supplier 0015 LLC,900000000000015,SYN-0015-INV-04,2025-10-25,3986.36,199.32,20648.28,
SYN-0015,Synthetic Supplier 0015 LLC,900000000000015,SYN-0015-INV-05,2025-12-11,4189.4,209.47,20648.28,
SYN-0016,Synthetic Supplier 0016 LLC,900000000000016,SYN-0016-INV-01,2026-06-14,15082.78,754.14,25594.59,2025-08-17
SYN-0016,Synthetic Supplier 0016 LLC,900000000000016,SYN-0016-INV-02,2026-07-31,13355.65,667.78,25594.59,2025-08-17
SYN-0017,Synthetic Supplier 0017 LLC,900000000000017,SYN-0017-INV-01,2026-06-27,4364.82,218.24,15268.59,2026-09-18
SYN-0017,Synthetic Supplier 0017 LLC,900000000000017,SYN-0017-INV-02,2026-08-13,5471.75,273.59,15268.59,2026-09-18
SYN-0017,Synthetic Supplier 0017 LLC,900000000000017,SYN-0017-INV-03,2025-10-04,7128.53,356.43,15268.59,2026-09-18
SYN-0018,Synthetic Supplier 0018 LLC,900000000000018,SYN-0018-INV-01,2026-07-10,1960.71,98.04,8673.75,2025-01-19
SYN-0018,Synthetic Supplier 0018 LLC,900000000000018,SYN-0018-INV-02,2026-08-26,2483.84,124.19,8673.75,2025-01-19
SYN-0018,Synthetic Supplier 0018 LLC,900000000000018,SYN-0018-INV-03,2025-10-17,2867.78,143.39,8673.75,2025-01-19
SYN-0018,Synthetic Supplier 0018 LLC,900000000000018,SYN-0018-INV-04,2025-12-03,2325.17,116.26,8673.75,2025-01-19
SYN-0019,Synthetic Supplier 0019 LLC,900000000000019,SYN-0019-INV-01,2026-07-23,819.29,40.96,4980.81,2026-02-20
SYN-0019,Synthetic Supplier 0019 LLC,900000000000019,SYN-0019-INV-02,2026-09-08,1035.57,51.78,4980.81,2026-02-20
SYN-0019,Synthetic Supplier 0019 LLC,900000000000019,SYN-0019-INV-03,2025-10-30,1366.56,68.33,4980.81,2026-02-20
SYN-0019,Synthetic Supplier 0019 LLC,900000000000019,SYN-0019-INV-04,2025-12-16,1301.23,65.06,4980.81,2026-02-20
SYN-0019,Synthetic Supplier 0019 LLC,900000000000019,SYN-0019-INV-05,2026-02-01,1011.59,50.58,4980.81,2026-02-20
SYN-0020,Synthetic Supplier 0020 LLC,900000000000020,SYN-0020-INV-01,2026-08-05,7067.67,353.38,10792.08,
SYN-0020,Synthetic Supplier 0020 LLC,900000000000020,SYN-0020-INV-02,2026-09-21,4923.53,246.18,10792.08,
SYN-0021,Synthetic Supplier 0021 LLC,900000000000021,SYN-0021-INV-01,2026-08-18,7932.12,396.61,109020.5,2026-04-22
SYN-0021,Synthetic Supplier 0021 LLC,900000000000021,SYN-0021-INV-02,2025-10-09,10474.86,523.74,109020.5,2026-04-22
SYN-0021,Synthetic Supplier 0021 LLC,900000000000021,SYN-0021-INV-03,2025-11-25,5819.8,290.99,109020.5,2026-04-22
SYN-0022,Synthetic Supplier 0022 LLC,900000000000022,SYN-0022-INV-01,2026-08-31,2840.79,142.04,12809.82,2025-05-23
SYN-0022,Synthetic Supplier 0022 LLC,900000000000022,SYN-0022-INV-02,2025-10-22,4267.16,213.36,12809.82,2025-05-23
SYN-0022,Synthetic Supplier 0022 LLC,900000000000022,SYN-0022-INV-03,2025-12-08,4480.82,224.04,12809.82,2025-05-23
SYN-0022,Synthetic Supplier 0022 LLC,900000000000022,SYN-0022-INV-04,2026-01-24,2644.36,132.22,12809.82,2025-05-23
SYN-0023,Synthetic Supplier 0023 LLC,900000000000023,SYN-0023-INV-01,2026-09-13,2046.26,102.31,10237.01,2026-06-24
SYN-0023,Synthetic Supplier 0023 LLC,900000000000023,SYN-0023-INV-02,2025-11-04,2166.14,108.31,10237.01,2026-06-24
SYN-0023,Synthetic Supplier 0023 LLC,900000000000023,SYN-0023-INV-03,2025-12-21,2174.38,108.72,10237.01,2026-06-24
SYN-0023,Synthetic Supplier 0023 LLC,900000000000023,SYN-0023-INV-04,2026-02-06,2560.25,128.01,10237.01,2026-06-24
SYN-0023,Synthetic Supplier 0023 LLC,900000000000023,SYN-0023-INV-05,2026-03-25,2427.43,121.37,10237.01,2026-06-24
SYN-0024,Synthetic Supplier 0024 LLC,900000000000024,SYN-0024-INV-01,2026-09-26,6265.5,313.28,14099.84,2025-07-25
SYN-0024,Synthetic Supplier 0024 LLC,900000000000024,SYN-0024-INV-02,2025-11-17,9400.99,470.05,14099.84,2025-07-25
SYN-0025,Synthetic Supplier 0025 LLC,900000000000025,SYN-0025-INV-01,2025-10-14,2806.46,140.32,7809.75,
SYN-0025,Synthetic Supplier 0025 LLC,900000000000025,SYN-0025-INV-02,2025-11-30,3034.01,151.7,7809.75,
SYN-0025,Synthetic Supplier 0025 LLC,900000000000025,SYN-0025-INV-03,2026-01-16,2837.02,141.85,7809.75,
SYN-0026,Synthetic Supplier 0026 LLC,900000000000026,SYN-0026-INV-01,2025-10-27,5028.54,251.43,25603.06,2025-09-02
SYN-0026,Synthetic Supplier 0026 LLC,900000000000026,SYN-0026-INV-02,2025-12-13,8357.81,417.89,25603.06,2025-09-02
SYN-0026,Synthetic Supplier 0026 LLC,900000000000026,SYN-0026-INV-03,2026-01-29,9192.54,459.63,25603.06,2025-09-02
SYN-0026,Synthetic Supplier 0026 LLC,900000000000026,SYN-0026-INV-04,2026-03-17,5868.95,293.45,25603.06,2025-09-02
SYN-0027,Synthetic Supplier 0027 LLC,900000000000027,SYN-0027-INV-01,2025-11-09,5259.02,262.95,24969.3,2026-01-03
SYN-0027,Synthetic Supplier 0027 LLC,900000000000027,SYN-0027-INV-02,2025-12-26,6989.06,349.45,24969.3,2026-01-03
SYN-0027,Synthetic Supplier 0027 LLC,900000000000027,SYN-0027-INV-03,2026-02-11,3952.54,197.63,24969.3,2026-01-03
SYN-0027,Synthetic Supplier 0027 LLC,900000000000027,SYN-0027-INV-04,2026-03-30,5126.48,256.32,24969.3,2026-01-03
SYN-0027,Synthetic Supplier 0027 LLC,900000000000027,SYN-0027-INV-05,2026-05-16,6416.57,320.83,24969.3,2026-01-03
SYN-0028,Synthetic Supplier 0028 LLC,900000000000028,SYN-0028-INV-01,2025-11-22,13209.75,660.49,125903.75,2025-02-04
SYN-0028,Synthetic Supplier 0028 LLC,900000000000028,SYN-0028-INV-02,2026-01-08,14768.86,738.44,125903.75,2025-02-04
SYN-0029,Synthetic Supplier 0029 LLC,900000000000029,SYN-0029-INV-01,2025-12-05,3481.66,174.08,10227.12,2026-03-05
SYN-0029,Synthetic Supplier 0029 LLC,900000000000029,SYN-0029-INV-02,2026-01-21,3392.87,169.64,10227.12,2026-03-05
SYN-0029,Synthetic Supplier 0029 LLC,900000000000029,SYN-0029-INV-03,2026-03-09,4488.93,224.45,10227.12,2026-03-05
SYN-0030,Synthetic Supplier 0030 LLC,900000000000030,SYN-0030-INV-01,2025-12-18,1969.01,98.45,6421.67,
SYN-0030,Synthetic Supplier 0030 LLC,900000000000030,SYN-0030-INV-02,2026-02-03,1815.83,90.79,6421.67,
SYN-0030,Synthetic Supplier 0030 LLC,900000000000030,SYN-0030-INV-03,2026-03-22,1399.89,69.99,6421.67,
SYN-0030,Synthetic Supplier 0030 LLC,900000000000030,SYN-0030-INV-04,2026-05-08,1950.46,97.52,6421.67,
SYN-0031,Synthetic Supplier 0031 LLC,900000000000031,SYN-0031-INV-01,2025-12-31,2227.54,111.38,11351.99,2026-05-07
SYN-0031,Synthetic Supplier 0031 LLC,900000000000031,SYN-0031-INV-02,2026-02-16,1972.26,98.61,11351.99,2026-05-07
SYN-0031,Synthetic Supplier 0031 LLC,900000000000031,SYN-0031-INV-03,2026-04-04,3475.6,173.78,11351.99,2026-05-07
SYN-0031,Synthetic Supplier 0031 LLC,900000000000031,SYN-0031-INV-04,2026-05-21,3014.95,150.75,11351.99,2026-05-07
SYN-0031,Synthetic Supplier 0031 LLC,900000000000031,SYN-0031-INV-05,2026-07-07,1922.97,96.15,11351.99,2026-05-07
SYN-0032,Synthetic Supplier 0032 LLC,900000000000032,SYN-0032-INV-01,2026-01-13,12409.36,620.47,20469.28,2025-06-08
SYN-0032,Synthetic Supplier 0032 LLC,900000000000032,SYN-0032-INV-02,2026-03-01,10334.28,516.71,20469.28,2025-06-08
SYN-0033,Synthetic Supplier 0033 LLC,900000000000033,SYN-0033-INV-01,2026-01-26,5604.55,280.23,15070.76,2026-07-09
SYN-0033,Synthetic Supplier 0033 LLC,900000000000033,SYN-0033-INV-02,2026-03-14,6056.65,302.83,15070.76,2026-07-09
SYN-0033,Synthetic Supplier 0033 LLC,900000000000033,SYN-0033-INV-03,2026-04-30,5084.09,254.2,15070.76,2026-07-09
SYN-0034,Synthetic Supplier 0034 LLC,900000000000034,SYN-0034-INV-01,2026-02-08,5759.96,288,17736.14,2025-08-10
SYN-0034,Synthetic Supplier 0034 LLC,900000000000034,SYN-0034-INV-02,2026-03-27,3270.12,163.51,17736.14,2025-08-10
SYN-0034,Synthetic Supplier 0034 LLC,900000000000034,SYN-0034-INV-03,2026-05-13,4794.02,239.7,17736.14,2025-08-10
SYN-0034,Synthetic Supplier 0034 LLC,900000000000034,SYN-0034-INV-04,2026-06-29,5882.72,294.14,17736.14,2025-08-10
SYN-0035,Synthetic Supplier 0035 LLC,900000000000035,SYN-0035-INV-01,2026-02-21,6114.96,305.75,123009.32,
SYN-0035,Synthetic Supplier 0035 LLC,900000000000035,SYN-0035-INV-02,2026-04-09,6897.59,344.88,123009.32,
SYN-0035,Synthetic Supplier 0035 LLC,900000000000035,SYN-0035-INV-03,2026-05-26,4805.01,240.25,123009.32,
SYN-0035,Synthetic Supplier 0035 LLC,900000000000035,SYN-0035-INV-04,2026-07-12,4975.48,248.77,123009.32,
SYN-0035,Synthetic Supplier 0035 LLC,900000000000035,SYN-0035-INV-05,2026-08-28,4542.36,227.12,123009.32,
SYN-0036,Synthetic Supplier 0036 LLC,900000000000036,SYN-0036-INV-01,2026-03-06,2785.96,139.3,4861.38,2025-01-12
SYN-0036,Synthetic Supplier 0036 LLC,900000000000036,SYN-0036-INV-02,2026-04-22,2615.58,130.78,4861.38,2025-01-12
SYN-0037,Synthetic Supplier 0037 LLC,900000000000037,SYN-0037-INV-01,2026-03-19,6877.51,343.88,16360.42,2026-02-13
SYN-0037,Synthetic Supplier 0037 LLC,900000000000037,SYN-0037-INV-02,2026-05-05,6818.44,340.92,16360.42,2026-02-13
SYN-0037,Synthetic Supplier 0037 LLC,900000000000037,SYN-0037-INV-03,2026-06-21,4482.3,224.11,16360.42,2026-02-13
SYN-0038,Synthetic Supplier 0038 LLC,900000000000038,SYN-0038-INV-01,2026-04-01,7742.24,387.11,19280.65,2025-03-14
SYN-0038,Synthetic Supplier 0038 LLC,900000000000038,SYN-0038-INV-02,2026-05-18,3580.59,179.03,19280.65,2025-03-14
SYN-0038,Synthetic Supplier 0038 LLC,900000000000038,SYN-0038-INV-03,2026-07-04,6327.44,316.37,19280.65,2025-03-14
SYN-0038,Synthetic Supplier 0038 LLC,900000000000038,SYN-0038-INV-04,2026-08-20,3772.68,188.63,19280.65,2025-03-14
SYN-0039,Synthetic Supplier 0039 LLC,900000000000039,SYN-0039-INV-01,2026-04-14,2236.61,111.83,10915.93,2026-04-15
SYN-0039,Synthetic Supplier 0039 LLC,900000000000039,SYN-0039-INV-02,2026-05-31,3513.74,175.69,10915.93,2026-04-15
SYN-0039,Synthetic Supplier 0039 LLC,900000000000039,SYN-0039-INV-03,2026-07-17,2637.83,131.89,10915.93,2026-04-15
SYN-0039,Synthetic Supplier 0039 LLC,900000000000039,SYN-0039-INV-04,2026-09-02,1918.67,95.93,10915.93,2026-04-15
SYN-0039,Synthetic Supplier 0039 LLC,900000000000039,SYN-0039-INV-05,2025-10-24,1821.95,91.1,10915.93,2026-04-15
SYN-0040,Synthetic Supplier 0040 LLC,900000000000040,SYN-0040-INV-01,2026-04-27,14599.49,729.97,22432.45,
SYN-0040,Synthetic Supplier 0040 LLC,900000000000040,SYN-0040-INV-02,2026-06-13,10325.46,516.27,22432.45,
SYN-0041,Synthetic Supplier 0041 LLC,900000000000041,SYN-0041-INV-01,2026-05-10,10527.51,526.38,23410.71,2026-06-17
SYN-0041,Synthetic Supplier 0041 LLC,900000000000041,SYN-0041-INV-02,2026-06-26,6504.91,325.25,23410.71,2026-06-17
SYN-0041,Synthetic Supplier 0041 LLC,900000000000041,SYN-0041-INV-03,2026-08-12,8979.48,448.97,23410.71,2026-06-17
SYN-0042,Synthetic Supplier 0042 LLC,900000000000042,SYN-0042-INV-01,2026-05-23,8034.19,401.71,124504.21,2025-07-18
SYN-0042,Synthetic Supplier 0042 LLC,900000000000042,SYN-0042-INV-02,2026-07-09,5019.69,250.98,124504.21,2025-07-18
SYN-0042,Synthetic Supplier 0042 LLC,900000000000042,SYN-0042-INV-03,2026-08-25,6266.45,313.32,124504.21,2025-07-18
SYN-0042,Synthetic Supplier 0042 LLC,900000000000042,SYN-0042-INV-04,2025-10-16,8347.27,417.36,124504.21,2025-07-18
SYN-0043,Synthetic Supplier 0043 LLC,900000000000043,SYN-0043-INV-01,2026-06-05,4897.73,244.89,17907.02,2026-08-19
SYN-0043,Synthetic Supplier 0043 LLC,900000000000043,SYN-0043-INV-02,2026-07-22,3400.49,170.02,17907.02,2026-08-19
SYN-0043,Synthetic Supplier 0043 LLC,900000000000043,SYN-0043-INV-03,2026-09-07,2377.25,118.86,17907.02,2026-08-19
SYN-0043,Synthetic Supplier 0043 LLC,900000000000043,SYN-0043-INV-04,2025-10-29,5246.88,262.34,17907.02,2026-08-19
SYN-0043,Synthetic Supplier 0043 LLC,900000000000043,SYN-0043-INV-05,2025-12-15,3974.33,198.72,17907.02,2026-08-19
SYN-0044,Synthetic Supplier 0044 LLC,900000000000044,SYN-0044-INV-01,2026-06-18,5705.72,285.29,11374.32,2025-09-20
SYN-0044,Synthetic Supplier 0044 LLC,900000000000044,SYN-0044-INV-02,2026-08-04,6932.41,346.62,11374.32,2025-09-20
SYN-0045,Synthetic Supplier 0045 LLC,900000000000045,SYN-0045-INV-01,2026-07-01,5657.96,282.9,13475.26,
SYN-0045,Synthetic Supplier 0045 LLC,900000000000045,SYN-0045-INV-02,2026-08-17,4308.02,215.4,13475.26,
SYN-0045,Synthetic Supplier 0045 LLC,900000000000045,SYN-0045-INV-03,2025-10-08,5006.53,250.33,13475.26,
SYN-0046,Synthetic Supplier 0046 LLC,900000000000046,SYN-0046-INV-01,2026-07-14,2508.02,125.4,10445.52,2025-02-22
SYN-0046,Synthetic Supplier 0046 LLC,900000000000046,SYN-0046-INV-02,2026-08-30,3022.28,151.11,10445.52,2025-02-22
SYN-0046,Synthetic Supplier 0046 LLC,900000000000046,SYN-0046-INV-03,2025-10-21,2926.84,146.34,10445.52,2025-02-22
SYN-0046,Synthetic Supplier 0046 LLC,900000000000046,SYN-0046-INV-04,2025-12-07,3148.99,157.45,10445.52,2025-02-22
SYN-0047,Synthetic Supplier 0047 LLC,900000000000047,SYN-0047-INV-01,2026-07-27,3090.93,154.55,13804.66,2026-03-23
SYN-0047,Synthetic Supplier 0047 LLC,900000000000047,SYN-0047-INV-02,2026-09-12,3307.52,165.38,13804.66,2026-03-23
SYN-0047,Synthetic Supplier 0047 LLC,900000000000047,SYN-0047-INV-03,2025-11-03,3413.98,170.7,13804.66,2026-03-23
SYN-0047,Synthetic Supplier 0047 LLC,900000000000047,SYN-0047-INV-04,2025-12-20,3035.78,151.79,13804.66,2026-03-23
SYN-0047,Synthetic Supplier 0047 LLC,900000000000047,SYN-0047-INV-05,2026-02-05,2490.29,124.51,13804.66,2026-03-23
SYN-0048,Synthetic Supplier 0048 LLC,900000000000048,SYN-0048-INV-01,2026-08-09,7191.73,359.59,10585.2,2025-04-24
SYN-0048,Synthetic Supplier 0048 LLC,900000000000048,SYN-0048-INV-02,2026-09-25,4569.6,228.48,10585.2,2025-04-24
SYN-0049,Synthetic Supplier 0049 LLC,900000000000049,SYN-0049-INV-01,2026-08-22,5137.62,256.88,84721.07,2026-05-25
SYN-0049,Synthetic Supplier 0049 LLC,900000000000049,SYN-0049-INV-02,2025-10-13,5928.79,296.44,84721.07,2026-05-25
SYN-0049,Synthetic Supplier 0049 LLC,900000000000049,SYN-0049-INV-03,2025-11-29,7760.49,388.02,84721.07,2026-05-25
SYN-0050,Synthetic Supplier 0050 LLC,900000000000050,SYN-0050-INV-01,2026-09-04,2428.97,121.45,10199.88,
SYN-0050,Synthetic Supplier 0050 LLC,900000000000050,SYN-0050-INV-02,2025-10-26,3432.33,171.62,10199.88,
SYN-0050,Synthetic Supplier 0050 LLC,900000000000050,SYN-0050-INV-03,2025-12-12,2265.73,113.29,10199.88,
SYN-0050,Synthetic Supplier 0050 LLC,900000000000050,SYN-0050-INV-04,2026-01-28,3206.17,160.31,10199.88,
SYN-0051,Synthetic Supplier 0051 LLC,900000000000051,SYN-0051-INV-01,2026-09-17,1160.05,58,4894.26,2026-07-02
SYN-0051,Synthetic Supplier 0051 LLC,900000000000051,SYN-0051-INV-02,2025-11-08,1085.42,54.27,4894.26,2026-07-02
SYN-0051,Synthetic Supplier 0051 LLC,900000000000051,SYN-0051-INV-03,2025-12-25,964.69,48.23,4894.26,2026-07-02
SYN-0051,Synthetic Supplier 0051 LLC,900000000000051,SYN-0051-INV-04,2026-02-10,1373.39,68.67,4894.26,2026-07-02
SYN-0051,Synthetic Supplier 0051 LLC,900000000000051,SYN-0051-INV-05,2026-03-29,854.51,42.73,4894.26,2026-07-02
SYN-0052,Synthetic Supplier 0052 LLC,900000000000052,SYN-0052-INV-01,2025-10-05,2955.35,147.77,5558.09,2025-08-03
SYN-0052,Synthetic Supplier 0052 LLC,900000000000052,SYN-0052-INV-02,2025-11-21,3220.31,161.02,5558.09,2025-08-03
SYN-0053,Synthetic Supplier 0053 LLC,900000000000053,SYN-0053-INV-01,2025-10-18,2640.1,132,8640.44,2026-09-04
SYN-0053,Synthetic Supplier 0053 LLC,900000000000053,SYN-0053-INV-02,2025-12-04,4098.46,204.92,8640.44,2026-09-04
SYN-0053,Synthetic Supplier 0053 LLC,900000000000053,SYN-0053-INV-03,2026-01-20,2861.93,143.1,8640.44,2026-09-04
SYN-0054,Synthetic Supplier 0054 LLC,900000000000054,SYN-0054-INV-01,2025-10-31,2226.89,111.34,10141.48,2025-01-05
SYN-0054,Synthetic Supplier 0054 LLC,900000000000054,SYN-0054-INV-02,2025-12-17,2604.61,130.23,10141.48,2025-01-05
SYN-0054,Synthetic Supplier 0054 LLC,900000000000054,SYN-0054-INV-03,2026-02-02,3100.36,155.02,10141.48,2025-01-05
SYN-0054,Synthetic Supplier 0054 LLC,900000000000054,SYN-0054-INV-04,2026-03-21,3336.45,166.82,10141.48,2025-01-05
SYN-0055,Synthetic Supplier 0055 LLC,900000000000055,SYN-0055-INV-01,2025-11-13,3189.29,159.46,12341.7,
SYN-0055,Synthetic Supplier 0055 LLC,900000000000055,SYN-0055-INV-02,2025-12-30,2241.08,112.05,12341.7,
SYN-0055,Synthetic Supplier 0055 LLC,900000000000055,SYN-0055-INV-03,2026-02-15,3304.34,165.22,12341.7,
SYN-0055,Synthetic Supplier 0055 LLC,900000000000055,SYN-0055-INV-04,2026-04-03,2600.01,130,12341.7,
SYN-0055,Synthetic Supplier 0055 LLC,900000000000055,SYN-0055-INV-05,2026-05-20,2378.28,118.91,12341.7,
SYN-0056,Synthetic Supplier 0056 LLC,900000000000056,SYN-0056-INV-01,2025-11-26,7046.87,352.34,50719.42,2025-03-07
SYN-0056,Synthetic Supplier 0056 LLC,900000000000056,SYN-0056-INV-02,2026-01-12,4224.12,211.21,50719.42,2025-03-07
SYN-0057,Synthetic Supplier 0057 LLC,900000000000057,SYN-0057-INV-01,2025-12-09,2534.58,126.73,6599.46,2026-04-08
SYN-0057,Synthetic Supplier 0057 LLC,900000000000057,SYN-0057-INV-02,2026-01-25,3232.96,161.65,6599.46,2026-04-08
SYN-0057,Synthetic Supplier 0057 LLC,900000000000057,SYN-0057-INV-03,2026-03-13,1565.2,78.26,6599.46,2026-04-08
SYN-0058,Synthetic Supplier 0058 LLC,900000000000058,SYN-0058-INV-01,2025-12-22,4259.54,212.98,17677.37,2025-05-09
SYN-0058,Synthetic Supplier 0058 LLC,900000000000058,SYN-0058-INV-02,2026-02-07,6259.99,313,17677.37,2025-05-09
